Invoice ID,Rama,Distrito,Cliente,Genero,Línea de Producto,Precio unitario,Cantidad,Precio Base,IGV,Total,Fecha,Hora,Método de Pago,Rating
100-10-5563,A,Miraflores,Normal,Femenino,Accesorios de moda,40.75,4,163,29.34,192.34,11/02/2022,08:14,Efectivo,9.7
100-10-7779,A,Miraflores,Miembro,Masculino,Ropa y calzados,99.63,10,996.3,179.33,1175.63,6/12/2023,14:43,Tarjeta bancaria,8.2
100-10-8038,C,San Isidro,Normal,Femenino,Accesorios electrónicos,35.05,4,140.2,25.24,165.44,16/10/2021,12:41,Efectivo,8.7
100-12-9116,A,San Isidro,Normal,Masculino,Hogar y estilo de vida,61.57,8,492.56,88.66,581.22,15/07/2023,14:54,Billetera digital,7.4
100-16-8964,D,San Borja,Miembro,Femenino,Salud y belleza,37.67,5,188.35,33.9,222.25,22/04/2021,21:17,Efectivo,4.3
100-23-4744,B,San Borja,Normal,Masculino,Deportes y viajes,47.96,2,95.92,17.27,113.19,15/12/2021,12:42,Efectivo,7
100-46-4823,C,San Borja,Miembro,Femenino,Accesorios de moda,63.33,7,443.31,79.8,523.11,30/10/2022,19:47,Billetera digital,5.7
100-55-8135,C,San Borja,Normal,Femenino,Ropa y calzados,39.86,3,119.58,21.52,141.1,14/07/2023,17:29,Efectivo,5.7
100-56-3921,C,Miraflores,Normal,Femenino,Hogar y estilo de vida,18.51,3,55.53,10,65.53,19/05/2021,14:21,Tarjeta bancaria,6.6
100-56-4541,B,San Isidro,Normal,Femenino,Salud y belleza,35.45,2,70.9,12.76,83.66,5/01/2022,09:16,Tarjeta bancaria,5.7
100-59-1034,B,San Borja,Normal,Masculino,Accesorios electrónicos,28.31,3,84.93,15.29,100.22,12/01/2023,15:55,Efectivo,5.8
100-60-5867,D,San Isidro,Normal,Femenino,Salud y belleza,75.77,1,75.77,13.64,89.41,31/05/2021,10:24,Efectivo,5.2
100-64-8524,B,Surco,Normal,Masculino,Salud y belleza,64.64,5,323.2,58.18,381.38,12/03/2022,21:31,Tarjeta bancaria,6
100-67-5478,B,Surquillo,Normal,Femenino,Hogar y estilo de vida,36.42,4,145.68,26.22,171.9,4/09/2021,19:14,Billetera digital,9.6
100-68-3210,C,Miraflores,Miembro,Masculino,Hogar y estilo de vida,40.04,10,400.4,72.07,472.47,12/12/2022,21:38,Tarjeta bancaria,5
100-70-5396,D,San Borja,Normal,Femenino,Salud y belleza,71.87,5,359.35,64.68,424.03,8/07/2021,13:39,Efectivo,9.3
100-74-2366,D,Miraflores,Normal,Femenino,Accesorios de moda,72.2,2,144.4,25.99,170.39,28/01/2021,12:02,Efectivo,6.7
100-77-5064,A,San Borja,Normal,Masculino,Accesorios electrónicos,85.82,5,429.1,77.24,506.34,25/07/2023,14:22,Tarjeta bancaria,5.8
100-79-7396,A,San Isidro,Miembro,Masculino,Hogar y estilo de vida,87.54,9,787.86,141.81,929.67,8/07/2022,22:46,Efectivo,9
100-80-7419,A,San Borja,Normal,Masculino,Deportes y viajes,84.08,5,420.4,75.67,496.07,20/07/2023,18:17,Billetera digital,7.3
100-87-4088,A,Miraflores,Normal,Femenino,Accesorios de moda,23.35,4,93.4,16.81,110.21,5/06/2022,15:56,Billetera digital,6.7
100-88-3561,A,San Isidro,Miembro,Masculino,Deportes y viajes,91.77,10,917.7,165.19,1082.89,19/12/2023,19:38,Tarjeta bancaria,6.3
100-90-3544,C,Miraflores,Normal,Masculino,Accesorios electrónicos,24.21,5,121.05,21.79,142.84,21/10/2021,15:28,Efectivo,6.5
100-92-6563,D,Miraflores,Miembro,Masculino,Comidas y bebidas,54.75,6,328.5,59.13,387.63,5/10/2022,17:18,Tarjeta bancaria,8.3
100-94-1527,B,San Isidro,Miembro,Femenino,Deportes y viajes,73.95,3,221.85,39.93,261.78,29/04/2021,14:03,Efectivo,6.7
100-94-9737,D,Miraflores,Miembro,Masculino,Deportes y viajes,83.42,8,667.36,120.12,787.48,27/08/2023,17:56,Billetera digital,7.9
100-97-5454,B,San Borja,Normal,Masculino,Deportes y viajes,83.85,5,419.25,75.47,494.72,1/07/2021,16:04,Efectivo,6
